font variant,unicode,source x,source y,width,height
16x16,33,0,0,16,16
16x16,34,16,0,16,16
16x16,35,32,0,16,16
16x16,36,48,0,16,16
16x16,37,64,0,16,16
16x16,38,80,0,16,16
16x16,39,96,0,16,16
16x16,40,112,0,16,16
16x16,41,128,0,16,16
16x16,42,144,0,16,16
16x16,43,160,0,16,16
16x16,44,176,0,16,16
16x16,45,192,0,16,16
16x16,46,208,0,16,16
16x16,47,224,0,16,16
16x16,48,240,0,16,16
16x16,49,0,16,16,16
16x16,50,16,16,16,16
16x16,51,32,16,16,16
16x16,52,48,16,16,16
16x16,53,64,16,16,16
16x16,54,80,16,16,16
16x16,55,96,16,16,16
16x16,56,112,16,16,16
16x16,57,128,16,16,16
16x16,58,144,16,16,16
16x16,59,160,16,16,16
16x16,60,176,16,16,16
16x16,61,192,16,16,16
16x16,62,208,16,16,16
16x16,63,224,16,16,16
16x16,64,240,16,16,16
16x16,65,0,32,16,16
16x16,66,16,32,16,16
16x16,67,32,32,16,16
16x16,68,48,32,16,16
16x16,69,64,32,16,16
16x16,70,80,32,16,16
16x16,71,96,32,16,16
16x16,72,112,32,16,16
16x16,73,128,32,16,16
16x16,74,144,32,16,16
16x16,75,160,32,16,16
16x16,76,176,32,16,16
16x16,77,192,32,16,16
16x16,78,208,32,16,16
16x16,79,224,32,16,16
16x16,80,240,32,16,16
16x16,81,0,48,16,16
16x16,82,16,48,16,16
16x16,83,32,48,16,16
16x16,84,48,48,16,16
16x16,85,64,48,16,16
16x16,86,80,48,16,16
16x16,87,96,48,16,16
16x16,88,112,48,16,16
16x16,89,128,48,16,16
16x16,90,144,48,16,16
16x16,91,160,48,16,16
16x16,92,176,48,16,16
16x16,93,192,48,16,16
16x16,94,208,48,16,16
16x16,95,224,48,16,16
16x16,96,240,48,16,16
16x16,97,0,64,16,16
16x16,98,16,64,16,16
16x16,99,32,64,16,16
16x16,100,48,64,16,16
16x16,101,64,64,16,16
16x16,102,80,64,16,16
16x16,103,96,64,16,16
16x16,104,112,64,16,16
16x16,105,128,64,16,16
16x16,106,144,64,16,16
16x16,107,160,64,16,16
16x16,108,176,64,16,16
16x16,109,192,64,16,16
16x16,110,208,64,16,16
16x16,111,224,64,16,16
16x16,112,240,64,16,16
16x16,113,0,80,16,16
16x16,114,16,80,16,16
16x16,115,32,80,16,16
16x16,116,48,80,16,16
16x16,117,64,80,16,16
16x16,118,80,80,16,16
16x16,119,96,80,16,16
16x16,120,112,80,16,16
16x16,121,128,80,16,16
16x16,122,144,80,16,16
16x16,123,160,80,16,16
16x16,124,176,80,16,16
16x16,125,192,80,16,16
16x16,126,208,80,16,16
16x16,32,224,80,16,16
Vx16,33,240,80,6,16
Vx16,34,0,96,16,16
Vx16,35,16,96,18,16
Vx16,36,34,96,16,16
Vx16,37,50,96,14,16
Vx16,38,64,96,16,16
Vx16,39,80,96,8,16
Vx16,40,88,96,12,16
Vx16,41,100,96,12,16
Vx16,42,112,96,16,16
Vx16,43,128,96,18,16
Vx16,44,146,96,10,16
Vx16,45,156,96,16,16
Vx16,46,172,96,6,16
Vx16,47,178,96,14,16
Vx16,48,192,96,14,16
Vx16,49,206,96,10,16
Vx16,50,216,96,12,16
Vx16,51,228,96,12,16
Vx16,52,240,96,14,16
Vx16,53,0,112,12,16
Vx16,54,12,112,14,16
Vx16,55,26,112,14,16
Vx16,56,40,112,14,16
Vx16,57,54,112,14,16
Vx16,58,68,112,10,16
Vx16,59,78,112,8,16
Vx16,60,86,112,14,16
Vx16,61,100,112,14,16
Vx16,62,114,112,14,16
Vx16,63,128,112,14,16
Vx16,64,142,112,16,16
Vx16,65,158,112,16,16
Vx16,66,174,112,16,16
Vx16,67,190,112,16,16
Vx16,68,206,112,16,16
Vx16,69,222,112,16,16
Vx16,70,238,112,16,16
Vx16,71,0,128,16,16
Vx16,72,16,128,16,16
Vx16,73,32,128,10,16
Vx16,74,42,128,14,16
Vx16,75,56,128,16,16
Vx16,76,72,128,16,16
Vx16,77,88,128,18,16
Vx16,78,106,128,16,16
Vx16,79,122,128,16,16
Vx16,80,138,128,16,16
Vx16,81,154,128,16,16
Vx16,82,170,128,16,16
Vx16,83,186,128,16,16
Vx16,84,202,128,16,16
Vx16,85,218,128,16,16
Vx16,86,234,128,16,16
Vx16,87,0,144,18,16
Vx16,88,18,144,16,16
Vx16,89,34,144,16,16
Vx16,90,50,144,16,16
Vx16,91,66,144,12,16
Vx16,92,78,144,14,16
Vx16,93,92,144,12,16
Vx16,94,104,144,16,16
Vx16,95,120,144,16,16
Vx16,96,136,144,10,16
Vx16,97,146,144,14,16
Vx16,98,160,144,14,16
Vx16,99,174,144,14,16
Vx16,100,188,144,14,16
Vx16,101,202,144,14,16
Vx16,102,216,144,12,16
Vx16,103,228,144,16,16
Vx16,104,0,160,14,16
Vx16,105,14,160,10,16
Vx16,106,24,160,12,16
Vx16,107,36,160,14,16
Vx16,108,50,160,12,16
Vx16,109,62,160,18,16
Vx16,110,80,160,16,16
Vx16,111,96,160,14,16
Vx16,112,110,160,14,16
Vx16,113,124,160,14,16
Vx16,114,138,160,16,16
Vx16,115,154,160,16,16
Vx16,116,170,160,14,16
Vx16,117,184,160,16,16
Vx16,118,200,160,16,16
Vx16,119,216,160,18,16
Vx16,120,234,160,18,16
Vx16,121,0,176,16,16
Vx16,122,16,176,16,16
Vx16,123,32,176,14,16
Vx16,124,46,176,6,16
Vx16,125,52,176,14,16
Vx16,126,66,176,14,16
Vx16,32,80,176,12,16
